10,0.53617642,0.08656119,0.06919382,0.03305204,0.02867715,0.02861552,0.02431165,0.02099583,0.01731606,0.01609488,0.01507873,0.01297947,0.01072158,0.00990947,0.00961779,0.00941583,0.0086557 ,0.00838666,0.00828007,0.00805998,0.00758402,0.00758402,0.00758402,0.00758402,0.00756407
1,0.28434558,0.0834142 ,0.07184908,0.06437234,0.0502294 ,0.05006344,0.04994757,0.04736494,0.04650102,0.03388143,0.0280498 ,0.0280498 ,0.02569746,0.02569746,0.0111753 ,0.0105567 ,0.01040243,0.01026124,0.01012366,0.0101168 ,0.00995522,0.00976407,0.00956001,0.00944807,0.00917299
1,0.33707884,0.07899536,0.05721958,0.05495071,0.04027353,0.03541361,0.02944491,0.02933647,0.02759824,0.02692831,0.02623121,0.02238163,0.02238163,0.02115273,0.02086793,0.02057572,0.01831111,0.01748473,0.01700491,0.01685864,0.0166768 ,0.01643172,0.01602953,0.01528581,0.01508635
1,0.25686914,0.08366256,0.06742767,0.05542627,0.05102098,0.04824231,0.04425531,0.03855878,0.03775278,0.03670386,0.03151565,0.02248077,0.02067976,0.02050254,0.01932458,0.01825194,0.01781921,0.01764035,0.01734549,0.0170285 ,0.01635245,0.01589403,0.01551523,0.01522511,0.01450474
1,0.26837021,0.07912623,0.07777358,0.07595047,0.04673815,0.03937541,0.0380379 ,0.03154832,0.02906169,0.02737292,0.02654456,0.02550777,0.02254145,0.02148349,0.0209478 ,0.0209478 ,0.0209478 ,0.02015203,0.01665565,0.01653178,0.01636242,0.01602679,0.01427701,0.01421022,0.01350857
1,0.18898829,0.15162853,0.10527439,0.0707789 ,0.05041886,0.03557165,0.03203383,0.02998275,0.02789418,0.02610402,0.02601317,0.02508508,0.02347418,0.02205528,0.0218194 ,0.02100117,0.01896917,0.01866518,0.01687304,0.01644289,0.01592455,0.01547471,0.0145824 ,0.01295615,0.01198823
1,0.35044283,0.07005393,0.03532434,0.03241378,0.03225955,0.03207516,0.031051  ,0.02970528,0.02776192,0.02672723,0.02602943,0.02560251,0.02452724,0.02372095,0.02346134,0.02257563,0.021877  ,0.02163588,0.02107544,0.02083358,0.02062347,0.02049099,0.02046917,0.01977562,0.0194867 
7,0.31301262,0.07749283,0.0617135 ,0.06145557,0.05447829,0.05267696,0.04569562,0.03524225,0.0248585 ,0.02260003,0.02169373,0.02057343,0.02036032,0.02010453,0.01961106,0.01828658,0.01746408,0.01515299,0.01494307,0.01494307,0.01421721,0.01384152,0.01375556,0.01323763,0.01258905
1,0.19881943,0.05206146,0.05136565,0.04698069,0.04392559,0.04379412,0.04069338,0.03944048,0.03911467,0.0350857 ,0.03458617,0.03304584,0.03295966,0.03044718,0.03023095,0.02769984,0.02603654,0.02585532,0.02577786,0.02472117,0.02427453,0.02376633,0.02318597,0.02306946,0.023062  
5,0.34473441,0.07525973,0.04314898,0.03907718,0.0330149 ,0.03269333,0.03239556,0.02857166,0.02748014,0.02743942,0.02597349,0.02565437,0.02393389,0.02291311,0.02274688,0.02193746,0.02183508,0.02119337,0.02116915,0.02057293,0.01970658,0.01816965,0.0173509 ,0.01661131,0.01641654
